#Frame,AgentID,X,Y,Z,Time,
6,2032,47.2343,0.010207,8.62439,00:00:01,
6,2033,45.975,0.010207,8.56977,00:00:01,
6,2034,48.3905,0.010207,6.53616,00:00:01,
6,2035,41.4785,0.010207,7.0946,00:00:01,
6,2036,41.213,0.010207,5.67241,00:00:01,
6,2037,48.866,0.010207,4.70765,00:00:01,
6,2038,44.4653,0.010207,4.46477,00:00:01,
6,2039,41.638,0.010207,4.91845,00:00:01,
6,2040,43.9921,0.010207,9.56415,00:00:01,
6,2041,41.588,0.010207,8.56571,00:00:01,
6,2042,47.7191,0.010207,7.55231,00:00:01,
6,2043,41.5006,0.010207,7.83151,00:00:01,
7,2001,47.8993,0.010207,8.70056,00:00:01,
7,2002,47.2166,-0.126374,11.237,00:00:01,
7,2003,41.684,0.010207,9.44634,00:00:01,
7,2004,43.795,0.010207,8.57676,00:00:01,
7,2005,48.2195,0.010207,7.73183,00:00:01,
7,2006,47.808,0.010207,5.57026,00:00:01,
7,2007,46.1083,0.010207,5.22403,00:00:01,
7,2008,47.5575,0.010207,9.22829,00:00:01,
7,2009,46.8128,0.010207,8.75231,00:00:01,
7,2010,44.663,0.010207,8.56748,00:00:01,
7,2011,47.604,0.010207,6.92308,00:00:01,
7,2012,45.4974,0.010207,5.25,00:00:01,
7,2013,44.534,0.010207,5.21899,00:00:01,
7,2014,45.3946,0.010207,4.67813,00:00:01,
7,2015,45.0652,0.010207,9.54356,00:00:01,
7,2016,43.4107,0.010207,9.57921,00:00:01,
7,2017,45.3304,0.010207,8.57339,00:00:01,
7,2018,46.8892,0.010207,5.35511,00:00:01,
7,2019,43.213,0.010207,5.37303,00:00:01,
7,2020,41.6306,0.010207,6.00638,00:00:01,
7,2021,48.4738,0.010207,5.44967,00:00:01,
7,2022,47.8507,0.010207,5.07208,00:00:01,
7,2023,47.3536,0.010207,4.78107,00:00:01,
7,2024,46.7735,0.010207,4.57674,00:00:01,
7,2025,45.9239,0.010207,4.53973,00:00:01,
7,2026,43.9166,0.010207,4.58638,00:00:01,
7,2027,43.1638,0.010207,4.56835,00:00:01,
7,2028,47.4134,0.030207,9.74788,00:00:01,
7,2029,46.3197,0.010207,9.61408,00:00:01,
7,2030,42.6557,0.010207,9.66618,00:00:01,
7,2031,48.3437,0.010207,8.21618,00:00:01,
7,2032,47.3446,0.010207,8.66038,00:00:01,
7,2033,46.133,0.010207,8.56977,00:00:01,
7,2034,48.3468,0.010207,6.54396,00:00:01,
7,2035,41.4785,0.010207,7.23681,00:00:01,
7,2036,41.2145,0.010207,5.72923,00:00:01,
7,2037,48.7612,0.010207,4.76769,00:00:01,
7,2038,44.5215,0.010207,4.46903,00:00:01,
7,2039,41.6388,0.010207,5.03183,00:00:01,
7,2040,44.1927,0.010207,9.57561,00:00:01,
7,2041,41.7489,0.010207,8.62197,00:00:01,
7,2042,47.726,0.010207,7.56191,00:00:01,
7,2043,41.5044,0.010207,7.86933,00:00:01,
8,2001,47.8855,0.010207,8.71744,00:00:01,
8,2002,47.0475,-0.126374,11.4492,00:00:01,
8,2003,41.7361,0.010207,9.47201,00:00:01,
8,2004,43.9583,0.010207,8.57676,00:00:01,
8,2005,48.2058,0.010207,7.72095,00:00:01,
8,2006,47.9258,0.010207,5.65301,00:00:01,
8,2007,46.1969,0.010207,5.22403,00:00:01,
8,2008,47.5974,0.010207,9.33521,00:00:01,
8,2009,46.9157,0.010207,8.76952,00:00:01,
8,2010,44.8171,0.010207,8.56748,00:00:01,
8,2011,47.4889,0.010207,6.96337,00:00:01,
8,2012,45.6109,0.010207,5.25,00:00:01,
8,2013,44.6865,0.010207,5.21899,00:00:01,
8,2014,45.4305,0.010207,4.69756,00:00:01,
8,2015,45.2466,0.010207,9.52541,00:00:01,
8,2016,43.6026,0.010207,9.58689,00:00:01,
8,2017,45.483,0.010207,8.57339,00:00:01,
8,2018,46.9967,0.010207,5.35511,00:00:01,
8,2019,43.3641,0.010207,5.36719,00:00:01,
8,2020,41.5563,0.010207,6.21259,00:00:01,
8,2021,48.4252,0.010207,5.62815,00:00:01,
8,2022,47.951,0.010207,5.14375,00:00:01,
8,2023,47.4556,0.010207,4.85735,00:00:01,
8,2024,46.9036,0.010207,4.65861,00:00:01,
8,2025,46.0683,0.010207,4.57905,00:00:01,
8,2026,43.9717,0.010207,4.62064,00:00:01,
8,2027,43.2688,0.010207,4.60037,00:00:01,
8,2028,47.508,0.030207,9.82714,00:00:01,
8,2029,46.4717,0.010207,9.61408,00:00:01,
8,2030,42.8196,0.010207,9.66618,00:00:01,
8,2031,48.298,0.010207,8.21238,00:00:01,
8,2032,47.3973,0.010207,8.67875,00:00:01,
8,2033,46.2948,0.010207,8.56977,00:00:01,
8,2034,48.298,0.010207,6.56805,00:00:01,
8,2035,41.4785,0.010207,7.353,00:00:01,
8,2036,41.241,0.010207,5.80702,00:00:01,
8,2037,48.6667,0.010207,4.79628,00:00:01,
8,2038,44.6516,0.010207,4.489,00:00:01,
8,2039,41.6536,0.010207,5.13734,00:00:01,
8,2040,44.382,0.010207,9.58645,00:00:01,
8,2041,41.9214,0.010207,8.68972,00:00:01,
8,2042,47.7325,0.010207,7.57646,00:00:01,
8,2043,41.5098,0.010207,7.96978,00:00:01,
9,2001,47.916,0.010207,8.71854,00:00:01,
9,2002,46.8456,-0.126374,11.6177,00:00:01,
9,2003,41.8088,0.010207,9.50206,00:00:01,
9,2004,44.1216,0.010207,8.57676,00:00:01,
9,2005,48.2151,0.010207,7.71507,00:00:01,
9,2006,47.9469,0.010207,5.71236,00:00:01,
9,2007,46.2854,0.010207,5.22403,00:00:01,
9,2008,47.6575,0.030207,9.44585,00:00:01,
9,2009,46.971,0.010207,8.79495,00:00:01,
9,2010,44.9725,0.010207,8.56748,00:00:01,
9,2011,47.3612,0.010207,7.00666,00:00:01,
9,2012,45.7215,0.010207,5.25,00:00:01,
9,2013,44.8267,0.010207,5.21899,00:00:01,
9,2014,45.4817,0.010207,4.71643,00:00:01,
9,2015,45.4581,0.010207,9.53852,00:00:01,
9,2016,43.7948,0.010207,9.59581,00:00:01,
9,2017,45.6334,0.010207,8.57339,00:00:01,
9,2018,47.0993,0.010207,5.35787,00:00:01,
9,2019,43.5168,0.010207,5.36135,00:00:01,
9,2020,41.5017,0.010207,6.43365,00:00:01,
9,2021,48.4469,0.010207,5.71847,00:00:01,
9,2022,48.0636,0.010207,5.1978,00:00:01,
9,2023,47.589,0.010207,4.92108,00:00:01,
9,2024,47.0061,0.010207,4.73338,00:00:01,
9,2025,46.2086,0.010207,4.61823,00:00:01,
9,2026,44.0569,0.010207,4.65741,00:00:01,
9,2027,43.3503,0.010207,4.63067,00:00:01,
9,2028,47.5043,0.030207,9.92182,00:00:01,
9,2029,46.6199,0.010207,9.61011,00:00:01,
9,2030,42.9711,0.010207,9.66618,00:00:01,
9,2031,48.2291,0.010207,8.21173,00:00:01,
9,2032,47.4385,0.010207,8.69007,00:00:01,
9,2033,46.4467,0.010207,8.56977,00:00:01,
9,2034,48.2299,0.010207,6.62665,00:00:01,
9,2035,41.4761,0.010207,7.45347,00:00:01,
9,2036,41.2759,0.010207,5.87618,00:00:01,
9,2037,48.6115,0.010207,4.79921,00:00:01,
9,2038,44.8052,0.010207,4.5173,00:00:01,
9,2039,41.6177,0.010207,5.17325,00:00:01,
9,2040,44.5725,0.010207,9.59538,00:00:01,
9,2041,42.1135,0.010207,8.77149,00:00:01,
9,2042,47.7308,0.010207,7.59055,00:00:01,
9,2043,41.509,0.010207,8.13345,00:00:01,
10,2001,47.958,0.010207,8.81905,00:00:02,
10,2002,46.6031,-0.126374,11.747,00:00:02,
10,2003,41.8921,0.010207,9.53484,00:00:02,
10,2004,44.2867,0.010207,8.57676,00:00:02,
10,2005,48.2225,0.010207,7.7066,00:00:02,
10,2006,47.963,0.010207,5.77907,00:00:02,
10,2007,46.374,0.010207,5.22403,00:00:02,
10,2008,47.7151,0.030207,9.56899,00:00:02,
10,2009,47.018,0.010207,8.8276,00:00:02,
10,2010,45.1264,0.010207,8.56748,00:00:02,
10,2011,47.2819,0.010207,7.03202,00:00:02,
10,2012,45.8289,0.010207,5.25,00:00:02,
10,2013,44.9574,0.010207,5.21899,00:00:02,
10,2014,45.5733,0.010207,4.73176,00:00:02,
10,2015,45.6709,0.010207,9.53852,00:00:02,
10,2016,43.9896,0.010207,9.60568,00:00:02,
10,2017,45.7838,0.010207,8.57339,00:00:02,
10,2018,47.1987,0.010207,5.36621,00:00:02,
10,2019,43.6707,0.010207,5.35551,00:00:02,
10,2020,41.4595,0.010207,6.65747,00:00:02,
10,2021,48.4619,0.010207,5.81151,00:00:02,
10,2022,48.1783,0.010207,5.23527,00:00:02,
10,2023,47.7165,0.010207,4.96128,00:00:02,
10,2024,47.1037,0.010207,4.78157,00:00:02,
10,2025,46.3502,0.010207,4.66718,00:00:02,
10,2026,44.178,0.010207,4.69799,00:00:02,
10,2027,43.4095,0.010207,4.65555,00:00:02,
10,2028,47.4974,0.030207,10.1515,00:00:02,
10,2029,46.7528,0.010207,9.60856,00:00:02,
10,2030,43.1168,0.010207,9.66618,00:00:02,
10,2031,48.1748,0.010207,8.23003,00:00:02,
10,2032,47.4878,0.010207,8.69996,00:00:02,
10,2033,46.5849,0.010207,8.56977,00:00:02,
10,2034,48.1672,0.010207,6.718,00:00:02,
10,2035,41.4737,0.010207,7.56163,00:00:02,
10,2036,41.313,0.010207,5.95014,00:00:02,
10,2037,48.6115,0.010207,4.79921,00:00:02,
10,2038,44.9558,0.010207,4.55251,00:00:02,
10,2039,41.5894,0.010207,5.20299,00:00:02,
10,2040,44.7669,0.010207,9.59538,00:00:02,
10,2041,42.3209,0.010207,8.8613,00:00:02,
10,2042,47.7325,0.010207,7.60715,00:00:02,
10,2043,41.5052,0.010207,8.33063,00:00:02,
11,2001,48.0035,0.010207,8.98268,00:00:02,
11,2002,46.3159,-0.126374,11.82,00:00:02,
11,2003,41.9857,0.010207,9.5442,00:00:02,
11,2004,44.4499,0.010207,8.57676,00:00:02,
11,2005,48.2285,0.010207,7.71388,00:00:02,
11,2006,47.9746,0.010207,5.88145,00:00:02,
11,2007,46.4625,0.010207,5.22403,00:00:02,
11,2008,47.7959,0.030207,9.69832,00:00:02,
11,2009,47.0905,0.010207,8.87942,00:00:02,
11,2010,45.2806,0.010207,8.56748,00:00:02,
11,2011,47.2481,0.010207,7.01935,00:00:02,
11,2012,45.9283,0.010207,5.25,00:00:02,
11,2013,45.0804,0.010207,5.21899,00:00:02,
11,2014,45.7122,0.010207,4.74419,00:00:02,
11,2015,45.8799,0.010207,9.53852,00:00:02,
11,2016,44.1829,0.010207,9.61634,00:00:02,
11,2017,45.9322,0.010207,8.57339,00:00:02,
11,2018,47.2935,0.010207,5.38348,00:00:02,
11,2019,43.8261,0.010207,5.34967,00:00:02,
11,2020,41.4595,0.010207,6.86233,00:00:02,
11,2021,48.4584,0.010207,6.00757,00:00:02,
11,2022,48.2896,0.010207,5.28228,00:00:02,
11,2023,47.8181,0.010207,4.97653,00:00:02,
11,2024,47.1983,0.010207,4.80614,00:00:02,
11,2025,46.4832,0.010207,4.72178,00:00:02,
11,2026,44.324,0.010207,4.73857,00:00:02,
11,2027,43.4554,0.010207,4.67916,00:00:02,
